swc_name,length_um,start_x,start_y,start_z,start_structure,start_structure_name,start_hemisphere,end_x,end_y,end_z,end_structure,end_structure_name,end_hemisphere,start_region_hemi,end_region_hemi
AA0011.swc,207335.67712402344,6829.3438,2320.2852,2938.0967,ccb,"corpus callosum, body",Left,6509.0513,7432.469,11731.675,outside_brain,outside_brain,Right,ccb_Left,outside_brain_Right
AA0012.swc,141154.90353393555,7073.428,2796.918,3210.9368,CA3,Field CA3,Left,5385.108,8892.069,13488.063,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0056.swc,60656.763916015625,5162.4316,3645.564,7402.483,CP,Caudoputamen,Right,5431.9785,6161.9795,10192.429,root,root,Right,CP_Right,root_Right
AA0066.swc,135525.23400878906,5288.405,1294.9464,5823.0845,ACAd1,"Anterior cingulate area, dorsal part, layer 1",Right,5727.9062,6331.5254,9375.498,PIR,Piriform area,Right,ACAd1_Right,PIR_Right
AA0114.swc,171391.390625,7532.245,3080.2974,2788.1194,CA3,Field CA3,Left,6213.543,6947.612,11593.019,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0119.swc,136216.35458374023,7321.589,3351.8296,2753.714,fi,fimbria,Left,6356.583,6562.116,10623.919,root,root,Right,fi_Left,root_Right
AA0121.swc,109347.09750366211,7067.117,3211.6875,2539.838,CP,Caudoputamen,Left,6266.0283,4763.263,10096.197,VISC5,"Visceral area, layer 5",Right,CP_Left,VISC5_Right
AA0122.swc,132567.03608703613,7103.482,3096.6328,2536.5618,CP,Caudoputamen,Left,5656.5547,6155.5195,9494.281,PIR,Piriform area,Right,CP_Left,PIR_Right
AA0131.swc,58433.087493896484,7530.773,2315.039,3970.026,DG-sg,"Dentate gyrus, granule cell layer",Left,5379.9565,6526.1133,13318.132,outside_brain,outside_brain,Right,DG-sg_Left,outside_brain_Right
AA0133.swc,102837.54624938965,7414.166,2567.664,3677.4644,CA3,Field CA3,Left,5303.799,7408.2627,13542.017,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0134.swc,64696.09211730957,7381.0996,2627.2349,3743.425,CA3,Field CA3,Left,4976.675,6570.304,13105.838,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0164.swc,78205.43182373047,5191.458,5057.432,7342.8643,CP,Caudoputamen,Right,5394.754,6074.287,11854.478,outside_brain,outside_brain,Right,CP_Right,outside_brain_Right
AA0177.swc,60331.120849609375,4433.1953,5346.746,6527.073,ACB,Nucleus accumbens,Right,5492.381,1383.0264,9964.662,root,root,Right,ACB_Right,root_Right
AA0179.swc,134066.23095703125,6837.7656,2586.6833,3304.5063,CA3,Field CA3,Left,5812.1714,7250.7974,13846.502,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0180.swc,145829.66333007812,6726.657,2540.018,3081.7632,VL,lateral ventricle,Left,5701.57,6913.994,13764.364,outside_brain,outside_brain,Right,VL_Left,outside_brain_Right
AA0181.swc,106164.93685913086,7070.274,2370.5188,3219.5742,CA3,Field CA3,Left,5767.4775,6175.0063,10967.766,root,root,Right,CA3_Left,root_Right
AA0205.swc,95770.974609375,5037.8457,5138.4565,7449.799,CP,Caudoputamen,Right,5797.1167,8219.336,12963.299,outside_brain,outside_brain,Right,CP_Right,outside_brain_Right
AA0211.swc,118943.11798095703,5225.176,5218.9023,7718.3564,CP,Caudoputamen,Right,5108.469,7359.5474,11732.856,outside_brain,outside_brain,Right,CP_Right,outside_brain_Right
AA0213.swc,40209.19909667969,5325.8105,5278.328,7543.559,CP,Caudoputamen,Right,5571.176,5898.3984,3967.3623,SI,Substantia innominata,Left,CP_Right,SI_Left
AA0215.swc,101813.83172607422,4433.8076,5369.1543,7688.7495,CP,Caudoputamen,Right,7273.178,5870.2207,11623.765,outside_brain,outside_brain,Right,CP_Right,outside_brain_Right
AA0218.swc,45364.649322509766,4381.6904,5458.4326,7691.324,CP,Caudoputamen,Right,3936.7322,2205.742,9322.301,root,root,Right,CP_Right,root_Right
AA0221.swc,94513.55480957031,4823.398,5146.2495,7358.6553,CP,Caudoputamen,Right,7370.4766,2079.2646,9543.724,SSs5,"Supplemental somatosensory area, layer 5",Right,CP_Right,SSs5_Right
AA0245.swc,214687.2378692627,6852.341,2079.8777,3438.5332,CA2,Field CA2,Left,4463.2275,5208.5483,10495.488,root,root,Right,CA2_Left,root_Right
AA0250.swc,178562.62911987305,7109.2275,2360.1511,3242.6553,CA3,Field CA3,Left,5249.58,6688.164,13314.565,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0261.swc,153332.59440612793,6924.851,2000.6548,3592.6648,CA1,Field CA1,Left,5248.6055,5579.199,10514.24,root,root,Right,CA1_Left,root_Right
AA0405.swc,67782.9730834961,4214.2,5142.8057,6540.2036,ACB,Nucleus accumbens,Right,7658.037,4034.6304,8715.993,root,root,Right,ACB_Right,root_Right
AA0415.swc,51704.578857421875,6890.8813,2403.7778,2743.9292,or,optic radiation,Left,5743.5854,6576.1147,9271.111,PIR,Piriform area,Right,or_Left,PIR_Right
AA0428.swc,58056.09915161133,4532.0386,5708.9365,6720.72,ACB,Nucleus accumbens,Right,6148.5015,2817.3787,9929.77,SSs2/3,"Supplemental somatosensory area, layer 2/3",Right,ACB_Right,SSs2/3_Right
AA0435.swc,43777.392639160156,4671.3584,5218.223,5528.7417,MS,Medial septal nucleus,Left,4468.8438,3723.2498,9757.399,SSs2/3,"Supplemental somatosensory area, layer 2/3",Right,MS_Left,SSs2/3_Right
AA0488.swc,59359.87289428711,4501.801,5276.3945,6741.6924,aco,"anterior commissure, olfactory limb",Right,5449.2617,1322.6093,9589.593,root,root,Right,aco_Right,root_Right
AA0514.swc,173620.5810546875,5471.305,4153.906,9784.4375,SSs5,"Supplemental somatosensory area, layer 5",Right,7311.1875,4267.8105,6670.7246,PO,Posterior complex of the thalamus,Right,SSs5_Right,PO_Right
AA0557.swc,47032.3427734375,4537.803,5618.57,6596.3037,ACB,Nucleus accumbens,Right,5487.951,1478.7733,10862.802,root,root,Right,ACB_Right,root_Right
AA0576.swc,155648.125,6638.331,2342.2847,3333.9954,VL,lateral ventricle,Left,4733.0703,7352.554,13235.493,outside_brain,outside_brain,Right,VL_Left,outside_brain_Right
AA0583.swc,159243.08428955078,6508.2812,1414.9385,4569.9062,SSp-tr6a,"Primary somatosensory area, trunk, layer 6a",Left,6270.946,6491.5747,9675.098,root,root,Right,SSp-tr6a_Left,root_Right
AA0584.swc,114885.44557189941,7014.5234,1875.459,4577.418,CA1,Field CA1,Left,5025.588,7024.978,13632.414,outside_brain,outside_brain,Right,CA1_Left,outside_brain_Right
AA0587.swc,157368.59958648682,6948.9062,1561.1074,4325.1934,CA1,Field CA1,Left,4462.6953,6033.9443,13526.27,outside_brain,outside_brain,Right,CA1_Left,outside_brain_Right
AA0615.swc,73305.04705810547,4594.354,5380.541,6402.427,ACB,Nucleus accumbens,Right,5856.8384,2398.869,10378.189,root,root,Right,ACB_Right,root_Right
AA0617.swc,88633.68193054199,7295.078,1750.2324,4474.9727,CA1,Field CA1,Left,6393.422,6868.13,9296.348,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA0671.swc,105417.33633041382,6998.409,1955.0742,2632.101,SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a",Left,7082.0703,6169.749,7455.9707,opt,optic tract,Right,SSp-bfd6a_Left,opt_Right
AA0726.swc,132841.7791595459,6663.8125,2087.454,3721.0645,CA3,Field CA3,Left,5441.1196,5483.5527,11822.968,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0732.swc,117118.56155395508,6939.705,3086.5808,3491.0454,LGd-co,"Dorsal part of the lateral geniculate complex, core",Left,6813.3623,4102.122,10097.111,VISC5,"Visceral area, layer 5",Right,LGd-co_Left,VISC5_Right
AA0764.swc,190255.99452209473,6150.5625,1777.9316,4023.289,SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",Left,5764.5654,6886.308,10164.619,root,root,Right,SSp-ll6a_Left,root_Right
AA0772.swc,174114.627494812,7252.521,2307.0166,3081.9568,CA1,Field CA1,Left,5669.2886,7129.6567,11067.666,root,root,Right,CA1_Left,root_Right
AA0780.swc,167578.06909179688,6813.508,2689.0586,2594.5254,or,optic radiation,Left,5604.773,4970.6753,10973.908,root,root,Right,or_Left,root_Right
AA0788.swc,199946.61846923828,6664.1,2013.519,3179.3582,SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",Left,5543.476,6993.063,13299.672,outside_brain,outside_brain,Right,SSp-bfd6b_Left,outside_brain_Right
AA0791.swc,175345.03875732422,6403.715,1582.7625,4547.374,SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b",Left,3848.0237,6720.242,11608.307,outside_brain,outside_brain,Right,SSp-ll6b_Left,outside_brain_Right
AA0792.swc,149503.3955078125,6184.2314,1546.9315,4625.6343,MOp6a,"Primary motor area, Layer 6a",Left,5623.211,5071.2344,10867.107,root,root,Right,MOp6a_Left,root_Right
AA0794.swc,139444.20245361328,6255.8193,1268.1112,4786.719,MOp6a,"Primary motor area, Layer 6a",Left,6463.888,6479.034,8944.402,EPv,"Endopiriform nucleus, ventral part",Right,MOp6a_Left,EPv_Right
AA0796.swc,171821.73280334473,6119.137,2353.2634,4698.2446,CA3,Field CA3,Left,5340.385,4567.5986,11045.584,root,root,Right,CA3_Left,root_Right
AA0845.swc,77188.70248413086,6311.1016,2636.0361,4075.0723,VL,lateral ventricle,Left,5842.7812,4390.669,10990.742,root,root,Right,VL_Left,root_Right
AA0852.swc,63601.140464782715,5810.039,2961.7314,4269.201,VL,lateral ventricle,Left,5733.539,2607.3828,9552.781,SSp-n4,"Primary somatosensory area, nose, layer 4",Right,VL_Left,SSp-n4_Right
AA0900.swc,52739.442443847656,6949.195,2634.0596,3348.5664,CA3,Field CA3,Left,7239.7188,5569.3193,7043.033,nst,nigrostriatal tract,Right,CA3_Left,nst_Right
AA0923.swc,137759.09231567383,6915.873,1385.467,5679.2593,RSPv1,"Retrosplenial area, ventral part, layer 1",Left,5894.086,8407.895,14513.281,outside_brain,outside_brain,Right,RSPv1_Left,outside_brain_Right
AA0926.swc,122644.14510726929,7125.8867,1760.5713,4745.632,CA1,Field CA1,Left,6430.4062,6731.4873,9054.977,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA0927.swc,127135.47442626953,7181.75,1901.0048,4419.3184,CA1,Field CA1,Left,6545.328,6699.0537,9042.936,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA0938.swc,73511.47247314453,4618.3984,5769.8643,7755.078,CP,Caudoputamen,Right,7321.937,2242.6025,8518.771,CA1,Field CA1,Right,CP_Right,CA1_Right
AA0992.swc,134988.576171875,5934.4556,4284.2188,8983.083,CP,Caudoputamen,Right,6492.9766,7161.203,13102.592,outside_brain,outside_brain,Right,CP_Right,outside_brain_Right
AA1042.swc,93383.82263183594,9416.067,3766.1152,4918.6387,MRN,Midbrain reticular nucleus,Left,3776.6172,5748.257,13325.867,outside_brain,outside_brain,Right,MRN_Left,outside_brain_Right
AA1043.swc,89038.02032470703,8415.281,3448.8506,3907.6133,APN,Anterior pretectal nucleus,Left,5121.0625,6362.3506,13618.984,outside_brain,outside_brain,Right,APN_Left,outside_brain_Right
AA1045.swc,121676.52616882324,6176.8984,798.0175,7258.7383,SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3",Right,7716.4062,5129.2334,7081.535,ZI,Zona incerta,Right,SSp-ll2/3_Right,ZI_Right
AA1051.swc,105402.2626953125,8727.422,3286.0642,3949.8108,SCig,"Superior colliculus, motor related, intermediate gray layer",Left,4372.0547,4068.5693,10310.697,root,root,Right,SCig_Left,root_Right
AA1069.swc,133953.4952392578,7683.1025,6366.467,11690.818,outside_brain,outside_brain,Right,4482.539,3397.2822,6543.9863,VL,lateral ventricle,Right,outside_brain_Right,VL_Right
AA1101.swc,59734.7373046875,4311.6797,5708.167,6978.746,ACB,Nucleus accumbens,Right,7338.561,2229.781,8628.023,CA1,Field CA1,Right,ACB_Right,CA1_Right
AA1107.swc,120031.78161621094,4346.2515,6022.9033,7402.4336,ACB,Nucleus accumbens,Right,4101.875,7116.2666,12780.484,outside_brain,outside_brain,Right,ACB_Right,outside_brain_Right
AA1120.swc,156346.31201171875,4291.9697,5762.1455,6979.898,ACB,Nucleus accumbens,Right,7681.0645,6323.241,12958.918,outside_brain,outside_brain,Right,ACB_Right,outside_brain_Right
