swc_name,length_um,start_x,start_y,start_z,start_structure,start_structure_name,start_hemisphere,end_x,end_y,end_z,end_structure,end_structure_name,end_hemisphere,start_region_hemi,end_region_hemi
AA0001.swc,111945.66,2966.8877,2546.0754,4625.2505,MOs5,"Secondary motor area, layer 5",Left,5388.5713,6469.099,9317.188,root,root,Right,MOs5_Left,root_Right
AA0011.swc,207335.67,6829.3438,2320.2852,2938.0967,ccb,"corpus callosum, body",Left,6509.0513,7432.469,11731.675,outside_brain,outside_brain,Right,ccb_Left,outside_brain_Right
AA0012.swc,141154.9,7073.428,2796.918,3210.9368,CA3,Field CA3,Left,5385.108,8892.069,13488.063,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0025.swc,66499.734,7883.849,1741.3098,9263.4795,VISal5,"Anterolateral visual area, layer 5",Right,5778.414,6229.203,7067.8594,LPO,Lateral preoptic area,Right,VISal5_Right,LPO_Right
AA0066.swc,135525.25,5288.405,1294.9464,5823.0845,ACAd1,"Anterior cingulate area, dorsal part, layer 1",Right,5727.9062,6331.5254,9375.498,PIR,Piriform area,Right,ACAd1_Right,PIR_Right
AA0087.swc,100954.59,5228.8003,5844.9683,6758.7134,HY,Hypothalamus,Right,5141.7915,2828.6965,10463.446,root,root,Right,HY_Right,root_Right
AA0114.swc,171391.39,7532.245,3080.2974,2788.1194,CA3,Field CA3,Left,6213.543,6947.612,11593.019,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0115.swc,106090.516,7328.9463,2732.5032,2621.4014,CA3,Field CA3,Left,5811.227,7093.015,11643.093,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0119.swc,136216.34,7321.589,3351.8296,2753.714,fi,fimbria,Left,6356.583,6562.116,10623.919,root,root,Right,fi_Left,root_Right
AA0121.swc,109347.09,7067.117,3211.6875,2539.838,CP,Caudoputamen,Left,6266.0283,4763.263,10096.197,VISC5,"Visceral area, layer 5",Right,CP_Left,VISC5_Right
AA0122.swc,132567.03,7103.482,3096.6328,2536.5618,CP,Caudoputamen,Left,5656.5547,6155.5195,9494.281,PIR,Piriform area,Right,CP_Left,PIR_Right
AA0128.swc,120127,4766.8325,5395.394,7080.2593,CP,Caudoputamen,Right,4621.19,3016.3901,10186.341,root,root,Right,CP_Right,root_Right
AA0131.swc,58433.086,7530.773,2315.039,3970.026,DG-sg,"Dentate gyrus, granule cell layer",Left,5379.9565,6526.1133,13318.132,outside_brain,outside_brain,Right,DG-sg_Left,outside_brain_Right
AA0132.swc,74712.33,7326.7417,1957.6456,4254.8887,CA1,Field CA1,Left,6024.7983,6479.3438,9231.35,PIR,Piriform area,Right,CA1_Left,PIR_Right
