source,target,weight,weight_norm,weight_rank_pct,metric
ACAd1_Right,PIR_Right,135525.23400878906,1.0,1.0,length_um
ACAv5_Right,BLAa_Right,94246.35473632812,1.0,1.0,length_um
ACB_Right,CP_Right,89891.0908203125,0.3021720957510208,1.0,length_um
ACB_Right,CA1_Right,59734.7373046875,0.20080044191003793,0.972972972972973,length_um
ACB_Right,SSs2/3_Right,58056.09915161133,0.19515764011406694,0.9459459459459459,length_um
ACB_Right,ORBm2/3_Left,49319.77966308594,0.16579019173950926,0.9189189189189189,length_um
ACB_Right,SSp-m4_Right,40481.389892578125,0.13607963048536512,0.8918918918918919,length_um
CA1_Left,PIR_Right,523555.996257782,1.0,1.0,length_um
CA3_Left,nst_Right,52739.442443847656,1.0,1.0,length_um
CP_Left,PIR_Right,132567.03608703613,0.5479921082714839,1.0,length_um
CP_Left,VISC5_Right,109347.09750366212,0.45200789172851613,0.972972972972973,length_um
CP_Right,SSs5_Right,94513.55480957033,0.4538809803407167,1.0,length_um
CP_Right,CA1_Right,73511.47247314453,0.3530230056379374,0.972972972972973,length_um
CP_Right,SI_Left,40209.19909667969,0.19309601402134594,0.9459459459459459,length_um
DG-po_Left,CP_Right,143566.6290512085,1.0,1.0,length_um
LGd-co_Left,VISC5_Right,117118.56155395508,1.0,1.0,length_um
MOp2/3_Right,ACB_Right,85627.94091796875,1.0,1.0,length_um
MOp5_Left,PIR_Right,65004.97692871094,1.0,1.0,length_um
MOp6a_Left,EPv_Right,139444.20245361328,1.0,1.0,length_um
MOs5_Left,PIR_Right,116508.8366394043,1.0,1.0,length_um
MS_Left,SSs2/3_Right,43777.39263916016,1.0,1.0,length_um
PR_Left,SSs6b_Right,87898.17993164062,1.0,1.0,length_um
PSTN_Right,SSp-bfd5_Left,471538.693069458,1.0,1.0,length_um
SSp-bfd6a_Left,opt_Right,105417.33633041382,1.0,1.0,length_um
SSp-ll2/3_Right,ZI_Right,121676.52616882324,1.0,1.0,length_um
SSp-ul5_Left,GPi_Right,127910.97855377196,1.0,1.0,length_um
SSs5_Right,PO_Right,173620.5810546875,1.0,1.0,length_um
SSs6a_Right,SI_Right,95288.53436279295,1.0,1.0,length_um
STN_Right,MB_Left,450718.8845214844,0.8093719797291785,1.0,length_um
STN_Right,CA1_Left,106155.94659423828,0.1906280202708215,0.972972972972973,length_um
VL_Left,SSp-n4_Right,63601.14046478272,1.0,1.0,length_um
VM_Left,PAL_Right,16020.617553710938,1.0,1.0,length_um
VPM_Left,SSs6a_Right,46206.66313934326,1.0,1.0,length_um
VPM_Right,SCig_Left,101232.25247192384,1.0,1.0,length_um
VTA_Right,SSs5_Right,51292.84567260742,1.0,1.0,length_um
fi_Right,DMH_Right,105798.54357910156,1.0,1.0,length_um
or_Left,PIR_Right,51704.57885742188,1.0,1.0,length_um
rust_Left,int_Right,40333.31718444824,1.0,1.0,length_um
