source,target,weight,weight_norm,weight_rank_pct,metric
ACAv5_Right,BLAa_Right,94246.35473632812,1.0,1.0,length_um
ACB_Right,CP_Right,120116.76013183594,0.7479336475144691,1.0,length_um
ACB_Right,SSp-m4_Right,40481.389892578125,0.2520663524855309,0.9411764705882353,length_um
CA1_Left,PIR_Right,181872.8220062256,1.0,1.0,length_um
CM_Right,RSPagl1_Right,213616.64837646484,1.0,1.0,length_um
CP_Right,MOp1_Left,98251.59790039062,1.0,1.0,length_um
DG-po_Left,CP_Right,143566.6290512085,1.0,1.0,length_um
MB_Right,SSp-bfd6b_Left,416538.8085327149,1.0,1.0,length_um
MOp5_Left,PIR_Right,65004.97692871094,1.0,1.0,length_um
MOs6a_Left,STR_Left,115871.9642944336,1.0,1.0,length_um
MS_Left,SSs2/3_Right,43777.39263916016,1.0,1.0,length_um
PH_Right,SSp-bfd5_Left,328749.48462677,1.0,1.0,length_um
PR_Left,SSs6b_Right,87898.17993164062,1.0,1.0,length_um
SSp-bfd6a_Left,scp_Right,58230.12506103516,1.0,1.0,length_um
STN_Right,MB_Left,450718.8845214844,1.0,1.0,length_um
VL_Left,SSp-n4_Right,63601.14046478272,1.0,1.0,length_um
fi_Right,DMH_Right,105798.54357910156,1.0,1.0,length_um
int_Right,MB_Left,25741.09313964844,1.0,1.0,length_um
