source,target,weight,fraction,rank
ACAd1_Right,PIR_Right,135525.25,1.0,1
ACAv5_Right,BLAa_Right,94246.36,1.0,1
ACB_Left,AIv5_Right,17288.838,1.0,1
ACB_Right,CP_Right,120116.754,0.3548165599620271,1
ACB_Right,VISC1_Right,90839.91,0.2683347934415556,2
ACB_Right,alv_Right,78255.54,0.2311614373193169,3
ACB_Right,ORBm2/3_Left,49319.78,0.14568720927710038,4
AId5_Right,ORBl1_Left,418161.1,0.5474966639792056,1
AId5_Right,AON_Left,345608.12,0.45250333602079434,2
AId6a_Right,OLF_Left,336040.5,1.0,1
AIv6a_Right,CP_Left,387694.25,1.0,1
APr_Right,PR_Left,68315.805,1.0,1
CA1_Left,PIR_Right,598268.32,1.0,1
CA1_Right,ACB_Left,86491.47,1.0,1
CP_Left,PIR_Right,132567.03,0.42038497719026646,1
CP_Left,VISC5_Right,109347.09,0.34675193323311243,2
CP_Left,CP_Right,55797.824,0.17694118190251756,3
CP_Left,AIv5_Right,17634.791,0.05592190767410356,4
CP_Right,VMH_Left,128427.09,0.277070450895183,1
CP_Right,SSs4_Right,104307.484,0.22503446604312288,2
CP_Right,SSs5_Right,94513.555,0.20390490277056558,3
CP_Right,CA1_Right,73511.47,0.1585947025574411,4
CP_Right,SI_Left,40209.195,0.08674789554744515,5
CP_Right,PAL_Left,22549.021,0.048647582186242405,6
DG-mo_Left,PIR_Right,49690.996,1.0,1
DG-po_Left,CP_Right,143566.64,1.0,1
FS_Right,SF_Right,22442.338,1.0,1
GPe_Left,PIR_Right,40379.953,1.0,1
GPe_Right,ACB_Right,104662.195,1.0,1
GPi_Right,AIv2/3_Right,29595.865,1.0,1
GU2/3_Right,AD_Right,97986.65,1.0,1
MOB_Right,AId2/3_Right,19170.19,1.0,1
MOp6a_Left,EPv_Right,139444.19,1.0,1
MOs5_Left,PIR_Right,116508.84,1.0,1
MPO_Right,SSp-n2/3_Right,18569.459,1.0,1
MS_Left,SSs2/3_Right,43777.39,1.0,1
MS_Right,CP_Right,28061.332,1.0,1
ORBm6a_Left,PIR_Right,14124.489,1.0,1
PR_Left,SSs6b_Right,87898.18,1.0,1
RSPv1_Right,PIR_Right,121041.76,1.0,1
SNr_Left,CP_Right,73239.36,1.0,1
SSp-bfd5_Left,CP_Right,58502.793,1.0,1
SSp-ul5_Right,PIR_Right,46085.145,1.0,1
SSs5_Right,PO_Right,173620.58,1.0,1
SSs6a_Right,SI_Right,95288.53,1.0,1
STN_Right,MB_Left,450718.84,1.0,1
VISal5_Right,LPO_Right,66499.734,1.0,1
VM_Left,PAL_Right,16020.617,1.0,1
VPM_Left,SSs6a_Right,46206.668,1.0,1
VPM_Right,SCig_Left,101232.25,1.0,1
VTA_Right,SSs5_Right,51292.844,1.0,1
fi_Left,fi_Right,53051.09,1.0,1
fi_Right,DMH_Right,105798.55,1.0,1
int_Right,ml_Left,292818.66,1.0,1
or_Left,PIR_Right,51704.58,1.0,1
rust_Left,int_Right,40333.316,1.0,1
