source,target,weight,fraction,rank
SNr_Left,root_Right,2674211.35,0.5839444865360877,1
SNr_Left,PIR_Right,1003244.208,0.2190697918886867,2
SNr_Left,CP_Right,331106.617,0.07230089852575267,3
SNr_Left,EPv_Right,139444.19,0.03044922606060686,4
SNr_Left,VISC5_Right,109347.09,0.023877181706025354,5
SNr_Left,SSs6b_Right,87898.18,0.019193568072903663,6
SNr_Left,fi_Right,53051.09,0.01158430933674325,7
SNr_Left,SSs6a_Right,46206.668,0.010089751888833869,8
SNr_Left,SSs2/3_Right,43777.39,0.009559291387137393,9
SNr_Left,int_Right,40333.316,0.008807238628284846,10
SNr_Left,AIv5_Right,34923.629,0.007625971897988475,11
SNr_Left,PAL_Right,16020.617,0.0034982840709491107,12
